video_file,pose_file
JEWELRY,JEW.npy
BULLSHIT,BULL.npy
ADVANTAGE,ADVAN.npy
WHISPER,WHI.npy
SIGNPAPER,SIGNP.npy
THERAPY,THE.npy
LEAVEALONE,LEAVEA.npy
COMMUNITY,COMMU.npy
CLIENT,CL.npy
BREAKFAST1,BREAKF.npy
TURN,.npy
CORNER,CO.npy
CASTLE2,CAS.npy
LEND,.npy
SOPHOMORE,SOPHO.npy
SUPERVISOR,SUPERV.npy
INSTITUTE,INSTI.npy
PERCEIVE,PERC.npy
CELEBRATE,CELEB.npy
WIDE,.npy
PEEL1,P.npy
DOG1,.npy
BOWLING2,BOWL.npy
RIDE1,R.npy
THEORY,TH.npy
SHORTWORD,SHORT.npy
LABEL,L.npy
FIRED,F.npy
DARK1,D.npy
DEVOUR,DE.npy
HATCH2,HA.npy
PILLOW2,PIL.npy
CELLPHONE,CELLP.npy
FLASHLIGHT2,FLASHLI.npy
LIGHT,L.npy
SHIRT2,SH.npy
BUMPY,B.npy
SLIP1,S.npy
SNEEZE1,SNE.npy
CLOCK1,CL.npy
GLASS1,GL.npy
FRISK,F.npy
SUMMON,SU.npy
BANANA2,BAN.npy
CHERRY1,CHE.npy
ELEVATOR3,ELEVA.npy
STACK1,ST.npy
ENVELOPE3,ENVEL.npy
BURY1,B.npy
ARREST3,ARR.npy
KNITTING1,KNITT.npy
SMILE2,SM.npy
STACK2,ST.npy
SCREWDRIVER2,SCREWDRI.npy
CLOUD3,CL.npy
CARROT2,CAR.npy
CRACKER2,CRAC.npy
VAMPIRE,VAM.npy
POP1,.npy
CROSS1,CR.npy
RAZOR2,RA.npy
CHERRY2,CHE.npy
JACKET1,JAC.npy
RABBIT1,RAB.npy
SNOW2,S.npy
BENEFIT,BEN.npy
EYES,.npy
GUESS1,GU.npy
DEMAND1,DEM.npy
CHURCH,CH.npy
COMPUTERMOUSE,COMPUTERM.npy
NEED,.npy
PINEAPPLE1,PINEAP.npy
BONE,.npy
CHILDREN,CHIL.npy
FRUIT,F.npy
ORDER2,OR.npy
PROBLEM2,PROB.npy
WOOD,.npy
DROP,.npy
GAME,.npy
FOREIGNER1,FOREIG.npy
APPOINTMENT,APPOINT.npy
NOW,.npy
SCROLLDOWN,SCROLL.npy
EGO,.npy
TELL,.npy
SOUTH,S.npy
GOSSIP,GO.npy
YESTERDAY,YESTE.npy
BALANCE,BAL.npy
CALL1,C.npy
AGREEMENT,AGREE.npy
DIRTY,D.npy
NO,.npy
CANOE,C.npy
TEST,.npy
TEETH,T.npy
KID,.npy
GIRL,.npy
BOAT,.npy
EASY,.npy
SCHOOL,SC.npy
IDEA,.npy
THERMOMETER,THERMOM.npy
LETKNOW,LET.npy
PREACHER,PREA.npy
MEET,.npy
ZIPPER,ZI.npy
MATCH,M.npy
FAUCET,FA.npy
FORFEIT,FOR.npy
NEWSPAPER,NEWSP.npy
GOD,.npy
FULL,.npy
FRIEND,FR.npy
WIFE,.npy
CRAZY,C.npy
DRAW,.npy
CAR,.npy
FRANCE,FR.npy
AMAZING,AMA.npy
BEAT,.npy
TOOTHBRUSH,TOOTHB.npy
EXCUSE,EX.npy
REVENGE,REV.npy
DOWNSIZE1,DOWNS.npy
LESSON,LE.npy
SARCASTIC,SARCA.npy
YUCKY,Y.npy
PLUG1,P.npy
NUT1,.npy
AVOID,A.npy
FEDUP,F.npy
BYE,.npy
END,.npy
GERMANY,GER.npy
LETMESEE,LETM.npy
NIECE,N.npy
BUT,.npy
BUDGET,BU.npy
SEQUENCE,SEQU.npy
ROCKET1,ROC.npy
WASH1,W.npy
SPONTANEOUS,SPONTAN.npy
FACE,.npy
TICKET,TI.npy
MOST,.npy
FREEDOM,FRE.npy
CUT,.npy
BUSY,.npy
LOLLIPOP,LOLL.npy
DEPRESS,DEP.npy
FLOAT3,FL.npy
PROOF,P.npy
DISRUPT,DIS.npy
CAMERAMAN,CAMER.npy
DRIVE,D.npy
BEANS,B.npy
PIZZA2,PI.npy
SHARE,S.npy
SLAVE,S.npy
INTUITIVE,INTUI.npy
ON,.npy
TRUTH,T.npy
VANILLA,VAN.npy
COST,.npy
ROOF,.npy
SNEAKADVENTURE,SNEAKADVEN.npy
LOUSY,L.npy
FUNNY,F.npy
SKIN,.npy
LOOKFORWARD,LOOKFOR.npy
SWIM1,S.npy
GOAL,.npy
OUTSIDE,OUT.npy
ORANGETHROAT,ORANGETH.npy
ORANGEEYES,ORANGE.npy
ANSWER,AN.npy
DISCUSS,DIS.npy
ROBOT,R.npy
MELT,.npy
SUCK,.npy
ROUGH,R.npy
PET1,.npy
SIGNATURE,SIGNA.npy
GRAY,.npy
HEAVY,H.npy
HURDLE/TRIP1,T.npy
CLIMBLADDER,CLIMBLA.npy
SNAP,.npy
ISOLATED,ISOL.npy
MAILMAN,MAI.npy
BET,.npy
DISTRACTED,DISTRA.npy
FREEZE,FR.npy
WILL,.npy
MEMBER,ME.npy
BEST,.npy
BAT2,.npy
MURDER,MU.npy
LIKE,.npy
OVER,.npy
DYE,.npy
DRY,.npy
DICTIONARY,DICTIO.npy
TAN,.npy
THEY1,T.npy
THUNDER,THU.npy
REDFACED,REDF.npy
FAN,.npy
QTIP,.npy
SCARMEMORY,SCARME.npy
LIMITED,LIM.npy
SIGNINGFLUENTLY,SIGNINGFLUE.npy
STARE,S.npy
THOUGHTDISAPPEAR,THOUGHTDISAP.npy
EVERYTHING,EVERYT.npy
SO,.npy
STADIUM,STA.npy
THINKPENETRATE,THINKPENET.npy
BACKPACK1,BACKP.npy
CHOKE,C.npy
GREENBEANS,GREENB.npy
TOGETHER,TOGE.npy
VAIN,.npy
COMPASS,COM.npy
NERVE,N.npy
BOW2,.npy
FRAME,F.npy
INSPIRE,INS.npy
FOLLOW2,FOL.npy
CLAW,.npy
HAHA,.npy
GOATEE,GO.npy
IF,.npy
STAMP1,ST.npy
SPREAD1,SPR.npy
STRAW,S.npy
STRONG,ST.npy
PUTASIDE,PUTA.npy
WISE,.npy
TEMPORARY,TEMPO.npy
FAINT,F.npy
EVIDENCE,EVID.npy
EDIT1,E.npy
DISCONNECT,DISCON.npy
INVISIBLE,INVIS.npy
THESE,T.npy
CHEW2,C.npy
POSTPONE,POST.npy
JUICE2,JU.npy
PRINCIPAL,PRINC.npy
JOIN,.npy
SMOKE,S.npy
REFUSE,RE.npy
STRUCTURE,STRUC.npy
SNOWMAN,SNO.npy
VOCABULARY,VOCABU.npy
FILLOUT,FIL.npy
TENDENCY,TEND.npy
SPECIAL1,SPEC.npy
BANDAID1,BAND.npy
WEIRD,W.npy
PUBLIC,PU.npy
PERSPECTIVE,PERSPEC.npy
DONTNEED,DONT.npy
CHEERLEADER1,CHEERLEA.npy
REALLYINTO,REALLY.npy
STIMULATE,STIMU.npy
SCOUT,S.npy
BOTHER,BO.npy
LESBIAN,LES.npy
SWEAT,S.npy
GETOFF,GE.npy
CAUGHT,CA.npy
SURGERY,SUR.npy
BLANK,B.npy
BRICK,B.npy
KINDERGARTEN,KINDERGA.npy
PHILADELPHIA,PHILADEL.npy
FROMTHENON,FROMTH.npy
INFECTION,INFEC.npy
TWOOFUS,TWO.npy
SENIORCITIZEN,SENIORCIT.npy
KEEP,.npy
NEGATIVE,NEGA.npy
SHOOT1,SH.npy
CRANKY,CR.npy
AFTERNOON,AFTER.npy
ERUPT1,ER.npy
PASS,.npy
VALIDATE,VALI.npy
CONFUSED1,CONFU.npy
REMEMBER1,REMEM.npy
WORKSHOP,WORK.npy
PARALLEL,PARA.npy
ROOMMATE,ROOM.npy
STRUGGLE,STRU.npy
BOSTON,BO.npy
SUPERVISE,SUPER.npy
PRODUCESIGN,PRODUCE.npy
SLICE2,SL.npy
MARCH,M.npy
ATHLETE,ATH.npy
DESIGN,DE.npy
PUNCHFACE,PUNCH.npy
MEDITATE2,MEDIT.npy
ITCH,.npy
FISHING2,FISH.npy
RESPECT,RES.npy
POLISH,PO.npy
SNAPSTICK,SNAPS.npy
AGAIN,A.npy
TASTE,T.npy
SEVERAL,SEV.npy
CHERISH,CHE.npy
ARM2,.npy
POSITIVE,POSI.npy
FORMER,FO.npy
OVERTAKE,OVER.npy
CONFLICT,CONF.npy
CAT2,.npy
WRAPUP2,WRA.npy
REMIND,RE.npy
HALFHOUR,HALF.npy
LONGTIME,LONG.npy
DROWN1,DR.npy
FACULTY,FAC.npy
TABLET,TA.npy
FOLLOW3,FOL.npy
TRIPLE,TR.npy
SWEET,S.npy
APPLE,A.npy
IMPOSSIBLE,IMPOSS.npy
PARK,.npy
SOCCER2,SOC.npy
STINK,S.npy
ROSE,.npy
HUG,.npy
TUBE,.npy
COUNT,C.npy
NICE,.npy
EASYTODO,EASY.npy
INFLUENCE,INFLU.npy
PEACOCK,PEA.npy
CIRCUSWHEEL,CIRCUSW.npy
NOSE,.npy
GYM,.npy
WEAVE,W.npy
SMOOTH,SM.npy
BACKPACK1,BACKP.npy
WE,.npy
DOWNHILL,DOWN.npy
JUICE1,JU.npy
SCOLD,S.npy
POWDER,PO.npy
SOCIAL,SO.npy
PULLCONVINCE,PULLCONV.npy
CAPTURE,CAP.npy
PONDER,PO.npy
JOKE,.npy
SOCIETY,SOC.npy
WATERDROP,WATER.npy
ANYONE,AN.npy
MAPLE,M.npy
CEMETERY,CEME.npy
FAIL,.npy
KNIGHT1,KNI.npy
ALLOFSUDDEN,ALLOFSU.npy
TOTAL,T.npy
COOL3,C.npy
FASHION,FAS.npy
LONGAGO,LON.npy
BECOME,BE.npy
IMPROVE,IMP.npy
UNCERTAIN,UNCER.npy
GREET1,GR.npy
PROPOSE,PRO.npy
TOSSOUT,TOS.npy
SQUARE,SQ.npy
EMPTY2,EM.npy
PACK,.npy
THANKYOU,THAN.npy
EACHOTHER,EACHO.npy
PRECIOUS,PREC.npy
WILLGO,WI.npy
LAYDOWN,LAY.npy
PARANOID,PARA.npy
ALASKA,AL.npy
EXPERIMENT,EXPERI.npy
ARTICLE,ART.npy
EVERYNIGHT,EVERYN.npy
GETTOGETHER,GETTOGE.npy
STORY1,ST.npy
SQUEEZE,SQU.npy
REMOVE,RE.npy
KNOCKOFF,KNOC.npy
MOSQUITO,MOSQ.npy
BETWEEN,BET.npy
TOY1,.npy
SPICY,S.npy
JEWELRY,JEW.npy
BULLSHIT,BULL.npy
ADVANTAGE,ADVAN.npy
WHISPER,WHI.npy
SIGNPAPER,SIGNP.npy
THERAPY,THE.npy
DONTFEELLIKE,DONTFEEL.npy
LEAVEALONE,LEAVEA.npy
COMMUNITY,COMMU.npy
CLIENT,CL.npy
BREAKFAST1,BREAKF.npy
MAKEBELIEVE,MAKEBEL.npy
TURN,.npy
ROAR1,R.npy
CORNER,CO.npy
HATBRIM,HAT.npy
GOODYGOODYSHOEOPPOSITE,GOODYGOODYSHOEOPPO.npy
CASTLE2,CAS.npy
LEND,.npy
SOPHOMORE,SOPHO.npy
SUPERVISOR,SUPERV.npy
SWEARIN,SWE.npy
CHEW1,C.npy
REPLACE,REP.npy
INSTITUTE,INSTI.npy
LICKENVELOPE1,LICKENVEL.npy
SELL,.npy
PERCEIVE,PERC.npy
FOCUS,F.npy
STUMBLE,STU.npy
EXPERT,EX.npy
CELEBRATE,CELEB.npy
GRAPES2,GRA.npy
TOSS,.npy
RHINO1,RH.npy
WIDE,.npy
BLEED,B.npy
PEEL1,P.npy
POOR,.npy
DOG1,.npy
DEVELOP1,DEVE.npy
BOWLING2,BOWL.npy
KISS2,K.npy
RIDE1,R.npy
IPHONE,IP.npy
FLOAT1,FL.npy
GRANDMOTHER,GRANDMO.npy
THEORY,TH.npy
BRA2,.npy
SHORTWORD,SHORT.npy
CARROT3,CAR.npy
LABEL,L.npy
BALL,.npy
FIRED,F.npy
VILLAGE,VIL.npy
FURNITURE,FURNI.npy
WITH,.npy
EARTH,E.npy
ADVERTISE,ADVER.npy
TOW1,.npy
DEMOTE,DE.npy
BOOTS2,BO.npy
INHALE,IN.npy
CARVE,C.npy
CARDS,C.npy
CANADA,CA.npy
MINIMUM2,MINI.npy
JUNIOR,JU.npy
BLOWCANDLE1,BLOWCAN.npy
CORKSCREW1,CORKSC.npy
GLOVES2,GLO.npy
LEAF2,L.npy
SLICE1,SL.npy
NURSE,N.npy
DARK1,D.npy
THROW1,TH.npy
CHEW2MOUTH,CHEW2M.npy
HATCH2,HA.npy
ARREST2,ARR.npy
SWEATER1,SWEA.npy
ENVELOPE2,ENVEL.npy
JACKET3,JAC.npy
FINALLY,FIN.npy
TRIM1,T.npy
GLOVES3,GLO.npy
PILLOW2,PIL.npy
CHEAT2,CH.npy
FOLLOW1,FOL.npy
CELLPHONE,CELLP.npy
FLASHLIGHT2,FLASHLI.npy
NOSEBLEED,NOSEB.npy
RACECARTRACK,RACECART.npy
HELICOPTER1,HELICOP.npy
LIGHT,L.npy
SHIRT2,SH.npy
PECK,.npy
SAW2,.npy
BUMPY,B.npy
DOLPHIN2,DOLP.npy
SLIP1,S.npy
CROSS2,CR.npy
KANGAROO1,KANGA.npy
STRAIN1,STR.npy
PILLOW3,PIL.npy
YEAH,.npy
SNEEZE1,SNE.npy
ARRIVE,AR.npy
MOP2,.npy
STRETCH-CA,STRETC.npy
CLOCK1,CL.npy
STAND1,ST.npy
MEASURE2,MEAS.npy
SHAVE3,SH.npy
GLASS1,GL.npy
CAUSE,C.npy
SUMMON,SU.npy
RUNFAUCET,RUNFA.npy
BANANA2,BAN.npy
STRETCH1,STRE.npy
PEACH2,PE.npy
DIP3,.npy
CHERRY1,CHE.npy
DUCK1,D.npy
ELEVATOR3,ELEVA.npy
PET2,.npy
STACK1,ST.npy
SIGNLANGUAGE,SIGNLANG.npy
BURY1,B.npy
ENVELOPE5,ENVEL.npy
GUN1,.npy
ARREST3,ARR.npy
BOIL1,B.npy
LIGHTCANDLE,LIGHTCA.npy
FLOAT2,FL.npy
KNITTING1,KNITT.npy
SMILE2,SM.npy
CLOUD3,CL.npy
CARROT2,CAR.npy
CRACKER2,CRAC.npy
MOUNTAIN2,MOUNT.npy
FRENCH,FR.npy
VAMPIRE,VAM.npy
PARACHUTE2,PARACH.npy
CALENDAR1,CALEN.npy
CLOCK2,CL.npy
CROSS1,CR.npy
RUSSIA,RU.npy
TV,.npy
RAZOR2,RA.npy
MAGIC,M.npy
JACKET1,JAC.npy
WHATFOR1,WHAT.npy
RABBIT1,RAB.npy
LINE,.npy
MIX2,.npy
CAPTION,CAP.npy
JELLY,J.npy
ENJOY,E.npy
SNOW2,S.npy
ERASE2,ER.npy
WANT2,W.npy
PIPE3,P.npy
KNITTING2,KNITT.npy
BENEFIT,BEN.npy
DART,.npy
EYES,.npy
SURE,.npy
GUESS1,GU.npy
LOBSTER2,LOBS.npy
DEMAND1,DEM.npy
CHURCH,CH.npy
CANDLE,CA.npy
COMPUTERMOUSE,COMPUTERM.npy
SANDWICH3,SANDW.npy
NEED,.npy
NECKLACE2,NECKL.npy
PINEAPPLE1,PINEAP.npy
SWIM2,S.npy
BONE,.npy
BUN,.npy
CHILDREN,CHIL.npy
TEAR,.npy
FRUIT,F.npy
SECRET,SE.npy
ORDER2,OR.npy
PROBLEM2,PROB.npy
HOUSE,H.npy
WOOD,.npy
DOLL,.npy
DROP,.npy
TANKTOP,TAN.npy
GAME,.npy
HAIRCUT,HAI.npy
FOREIGNER1,FOREIG.npy
ADULT,A.npy
APPOINTMENT,APPOINT.npy
JUGGLE,JU.npy
NOW,.npy
ORAL,.npy
SCAN,.npy
HOTCOMPETITION,HOTCOMPETI.npy
CORKSCREW2,CORKSC.npy
THEY1,T.npy
TAIL1,T.npy
SCROLLDOWN,SCROLL.npy
EARN,.npy
WELL,.npy
BICYCLE,BIC.npy
EGO,.npy
STEAK,S.npy
TELL,.npy
THIRSTY,THI.npy
SOUTH,S.npy
SMOKING,SMO.npy
GOSSIP,GO.npy
PATIENT2,PATI.npy
YESTERDAY,YESTE.npy
DROWN3,DR.npy
BALANCE,BAL.npy
CALL1,C.npy
PAINT,P.npy
STOCKINGS,STOCK.npy
LOCK1,L.npy
EAR,.npy
PERSISTENT,PERSIS.npy
FEBRUARY,FEBR.npy
TROPHY,TR.npy
HEAR1,H.npy
STAND2,ST.npy
LESS,.npy
DICE,.npy
YOUNG,Y.npy
IMPACT,IM.npy
INTERPRETER,INTERPR.npy
EAGLE2,EA.npy
RELAX1,RE.npy
STUCK,S.npy
OHISEE,OH.npy
RAT,.npy
SHAME,S.npy
OFFHAND,OFF.npy
AGREEMENT,AGREE.npy
POP2,.npy
DIRTY,D.npy
CIRCLE,CI.npy
NO,.npy
GLASS2,GL.npy
CANOE,C.npy
PEANUTBUTTER,PEANUTBU.npy
TEST,.npy
TEETH,T.npy
BELT1,B.npy
KID,.npy
TODAY,T.npy
GIRL,.npy
OPENBOOK,OPEN.npy
BOAT,.npy
USE,.npy
EASY,.npy
WEIGHT,WE.npy
SCHOOL,SC.npy
IDEA,.npy
CHARGECARD,CHARGE.npy
THERMOMETER,THERMOM.npy
SHARK2,SH.npy
LETKNOW,LET.npy
ROCKET2,ROC.npy
PREACHER,PREA.npy
MEET,.npy
OPENWALLET,OPENWA.npy
ZIPPER,ZI.npy
CREATE,CR.npy
MATCH,M.npy
SILVER,SI.npy
PLENTY,PL.npy
CHANGE,CH.npy
OBVIOUS,OBV.npy
PHARMACIST,PHARMA.npy
BEE1,.npy
SPRING,SP.npy
REFLECT,REF.npy
BIND,.npy
BULLDOZER,BULLD.npy
MISSING,MIS.npy
IMMERSE,IMM.npy
TAKEOFF1,TAKE.npy
TRUEBUSINESS,TRUEBUSI.npy
AUDIENCE,AUDI.npy
WRAP,.npy
PENGUIN,PEN.npy
DELINQUENT,DELINQ.npy
PJS,.npy
DANGER,DA.npy
SPENDLOTSOFMONEY,SPENDLOTSOFM.npy
BEG,.npy
BOMB,.npy
CHIN,.npy
SWING2,SW.npy
SOFT,.npy
CARACCIDENT,CARACCI.npy
FIRETRUCK,FIRET.npy
CLAUSE,CL.npy
WHITE,W.npy
PUT,.npy
SUPPORT1,SUPP.npy
CLUELESS,CLUE.npy
TWINS1,TW.npy
WASHFACE1,WASHF.npy
PLAIN,P.npy
HEARTTOUCH,HEARTT.npy
FREE,.npy
CANCER1,CAN.npy
SLED1,S.npy
CAMEL,C.npy
TOAGOAL,TOA.npy
KNOCK,K.npy
BOW4,.npy
BRAILLE,BRA.npy
RUNOUTOF,RUNO.npy
FENCING,FEN.npy
DESSERT,DES.npy
MUSCLE,MU.npy
SLIDE1,SL.npy
ECLIPSE,ECL.npy
BUTTONS,BUT.npy
GUM,.npy
RACE,.npy
LICK2,L.npy
OPERATEMACHINE,OPERATEMAC.npy
LIPS,.npy
RUIN,.npy
UNICORN,UNI.npy
BACKYARD,BACK.npy
KISSONCHEEK,KISSONC.npy
BUFFALO,BUF.npy
SHOULD,SH.npy
PINON,P.npy
CURIOUS,CUR.npy
NAIL,.npy
MELON,M.npy
FIX,.npy
ARGUE,A.npy
SEVEN,S.npy
DININGROOM,DINING.npy
HOLD1,H.npy
REFRIGERATOR,REFRIGER.npy
TAPE,.npy
MICROPHONE,MICROP.npy
NEXTTO,NE.npy
ARCHEOLOGY,ARCHEO.npy
OCEAN,O.npy
RIDE2,R.npy
PERMISSION,PERMIS.npy
SKUNK,S.npy
CONVINCE1,CONVI.npy
HALF,.npy
SOUR,.npy
WEEKEND,WEE.npy
VISUALIZE,VISUA.npy
SCORE,S.npy
STAMP2,ST.npy
NEWSTOME,NEWS.npy
FENCE1,FE.npy
IMMATURE,IMMA.npy
BACKUP,BA.npy
THINKEXPAND,THINKEX.npy
CELERY,CE.npy
DOCUMENT,DOCU.npy
DREADLOCKS,DREADL.npy
PROGRAM,PRO.npy
VERY,.npy
SAXOPHONE,SAXOP.npy
BUSTED,BU.npy
HANDSOFF,HAND.npy
TIMEPROGRESS,TIMEPROG.npy
RESIST,RE.npy
NEEDLE,NE.npy
SOUND,S.npy
SIREN,S.npy
DUTY,.npy
MEMORIZE,MEMO.npy
PROTEST,PRO.npy
BOIL2,B.npy
ONEMORE1,ONEM.npy
SPILL1,SP.npy
SELF,.npy
DEVELOP1,DEVE.npy
SHARPEN1,SHAR.npy
TOP,.npy
TOW2,.npy
AREA,.npy
PHILOSOPHY,PHILOS.npy
SHARP1,SH.npy
HOLY,.npy
WHILE,W.npy
FINGERSCROSSED,FINGERSCRO.npy
QUARTER,QUA.npy
STUDY,S.npy
HONGKONG,HONG.npy
COACH,C.npy
DIZZY,D.npy
ENVIRONMENT,ENVIRON.npy
CONVINCE2,CONVI.npy
CANNON,CA.npy
PAIR,.npy
BLINK,B.npy
NAVY,.npy
REACT,R.npy
PHOTOGRAPHY,PHOTOGR.npy
UNAWARE,UNA.npy
SAVEMONEY,SAVEM.npy
HEADBACK,HEAD.npy
CATCH1,CA.npy
W.H.A.T,W.H.npy
CALM,.npy
ICE,.npy
DOWN,.npy
OPINION1,OPIN.npy
BASKET2,BAS.npy
KICK2,K.npy
LINGUISTICS,LINGUIS.npy
STEAM,S.npy
CRASH,C.npy
BURN,.npy
SPECIALIST,SPECIA.npy
LOAD1,L.npy
SINGLEOUT,SINGL.npy
TICKLE,TI.npy
WASHFACE2,WASHF.npy
VIDEOGAME,VIDEO.npy
STACK3,ST.npy
MODEL1,MO.npy
SAMETIME,SAME.npy
NOTATHING,NOTAT.npy
OFTEN,O.npy
HOSPITAL1,HOSPI.npy
GREAT,G.npy
NOTHINGATALL,NOTHINGA.npy
CALIFORNIA,CALIFO.npy
ADMIRE,AD.npy
CARRY,C.npy
TWOWEEKS,TWOW.npy
NEXTYEAR,NEXT.npy
ONCE,.npy
FLIP,.npy
AGAINST,AGA.npy
WITHOUT,WIT.npy
ROLE,.npy
GRIND,G.npy
FILE3,F.npy
US,.npy
SEESEE,SE.npy
BASKETBALL1,BASKETB.npy
ARIZONA,ARI.npy
MINE,.npy
MAINSTREAM,MAINST.npy
SAIL2,S.npy
HAWAII,HA.npy
PLUG2,P.npy
COMMITTEE,COMMI.npy
SHOULDER2,SHOUL.npy
BLUR,.npy
DROWN4,DR.npy
CRY2,.npy
SHARPEN2,SHAR.npy
BRIDGE2,BRI.npy
CRUMPLE,CRU.npy
BURY2,B.npy
TIE2,.npy
HOODIE1,HOO.npy
HIPPO2,HI.npy
TURKEY2,TUR.npy
CITY2,C.npy
THROW2,TH.npy
SPREAD2,SPR.npy
TOW3,.npy
BURY3,B.npy
AWARD,A.npy
STRETCH2,STRE.npy
HOLD2,H.npy
BANANA3,BAN.npy
IDENTITY,IDEN.npy
DOLPHIN3,DOLP.npy
SUNRISE,SUN.npy
GLOVES4,GLO.npy
ARM3,.npy
COMB1,C.npy
GROUP,G.npy
BITEONARM,BITEO.npy
CASTLE3,CAS.npy
HAT2,.npy
POPULAR,POP.npy
DEPARTMENT,DEPART.npy
FORK1,F.npy
WRESTLE,WRE.npy
WEAK,.npy
FOUL,.npy
ONEMORE2,ONEM.npy
INDIAN,IN.npy
TWIRL,T.npy
QM,.npy
POINTINDEX,POINTI.npy
SLIP2,S.npy
CALL2,C.npy
MEDICINE,MEDI.npy
MIX3,.npy
GO,.npy
SHOOT2,SH.npy
FORK2,F.npy
TINY,.npy
FENCE2,FE.npy
ALL,.npy
ALLOVER,ALL.npy
WHISTLE2,WHIS.npy
MILK2,M.npy
TRIANGLE,TRIA.npy
CAT3,.npy
GETINBED,GETI.npy
POLICEMAN2,POLICE.npy
